Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
AYIDouble/IoT-Arduino-Game-Controller-Java,16,2,2,0,2,Java,44,Average Popularity
loveBabbar/ProgressTracker,10,2,1,0,0,Java,44,Average Popularity
manjurulhoque/android-scheduler,5,2,1,0,0,Java,44,Average Popularity
EddieHubCommunity/EddieBotBreakout,14,2,3,0,6,TypeScript,37,Average Popularity
keshav-space/safe_notes,2,2,4,0,0,Dart,36,Average Popularity
iliyass-zamouri/flutter_agenda,3,2,1,0,0,Dart,36,Average Popularity
nikhilkumarsingh/globTut,3,2,2,0,0,Jupyter Notebook,29,Average Popularity
jishanshaikh4/CSE-317-Operating-Systems-Laboratory,16,2,1,0,0,C++,29,Average Popularity
ihcsim/cockroachdb-formula,2,2,3,0,0,Ruby,28,Average Popularity
lucianmarin/wp-journalist,6,2,1,0,2,PHP,16,Unpopular
lucianmarin/instanote,17,2,1,0,0,PHP,16,Unpopular
shazow/communal,43,2,1,0,2,Go,15,Unpopular
devraj/PassCodeInput,21,2,11,0,3,Swift,10,Unpopular
google/aarch64-paging,6,2,1,0,3,Rust,10,Unpopular
mattgallagher/CwlFeedReader,29,2,1,0,0,Swift,10,Unpopular
devongovett/bundler-algorithm,28,2,1,0,0,Rust,10,Unpopular
xchanmolx/E-CommerceApp,49,2,1,0,0,C#,8,Unpopular
artkirienko/hlds-docker-dproto,19,2,1,0,0,Pawn,2,Unpopular
artkirienko/hlds-docker-dproto,19,2,1,0,0,Pawn,2,Unpopular
mikenikles/deno-sapper-cloud-run,7,1,1,8,0,JavaScript,253,Very Popular
shradha-khapra/software-product-sprint-2020,8,1,1,8,16,Java,44,Average Popularity
openfoodfacts/impactestimator,3,1,1,4,5,Python,155,Very Popular
iamrajiv/new-keptn-docs-engine,0,1,81,3,0,JavaScript,253,Very Popular
shazow/briefmetrics,20,1,3,3,3,Python,155,Very Popular
YashKumarVerma/all-covid-info-frontend,9,1,4,1,0,JavaScript,253,Very Popular
ducc/ducclang,0,1,2,1,0,JavaScript,253,Very Popular
lucianmarin/pybench,6,1,1,1,0,Python,155,Very Popular
taranjeet/blog,0,1,5,1,0,HTML,72,Average Popularity
aloisdeniel/feature_flags,18,1,1,1,0,Dart,36,Average Popularity
aloisdeniel/feature_flags,18,1,1,1,0,Dart,36,Average Popularity
GmGniap/practice_python,1,1,2,1,2,Jupyter Notebook,29,Average Popularity
aviaryan/alfred-last2imgur,14,1,1,1,2,Shell,25,Average Popularity
aviaryan/alfred-clc,16,1,1,1,0,Shell,25,Average Popularity
aviaryan/Ahk-CI-Example,14,1,1,1,0,AutoHotkey,3,Unpopular
Rajdip019/booklee,7,1,4,0,4,JavaScript,253,Very Popular
shazow/colorblendy,22,1,1,0,3,JavaScript,253,Very Popular
Anurag5086/chatify,0,1,1,0,3,JavaScript,253,Very Popular
Anurag5086/chatify,0,1,1,0,3,JavaScript,253,Very Popular
0xCaso/defillama-telegram-bot,0,1,4,0,2,JavaScript,253,Very Popular
harryadel/blastjs,9,1,2,0,2,JavaScript,253,Very Popular
localstack/amplify-js-local,16,1,1,0,2,JavaScript,253,Very Popular
tobie/async-it,6,1,1,0,2,JavaScript,253,Very Popular
devongovett/browserify-optional,9,1,5,0,0,JavaScript,253,Very Popular
ljharb/aud,24,1,3,0,0,JavaScript,253,Very Popular
PawanKolhe/calc-2000,1,1,3,0,0,JavaScript,253,Very Popular
norbusan/cinnadock-p2,439,1,2,0,0,JavaScript,253,Very Popular
norbusan/cinnadock-p2,439,1,2,0,0,JavaScript,253,Very Popular
IonicaBizau/add-subtract-date,7,1,2,0,0,JavaScript,253,Very Popular
kerrishotts/cordova-plugin-ios-launch-screen,3,1,2,0,0,JavaScript,253,Very Popular
markwylde/angular-fresh,2,1,2,0,0,JavaScript,253,Very Popular
saurabhdaware/blep,14,1,1,0,0,JavaScript,253,Very Popular
kerrishotts/cordova-template-webpack-ts-scss,4,1,1,0,0,JavaScript,253,Very Popular
devongovett/babel-plugin-transform-async-super,4,1,1,0,0,JavaScript,253,Very Popular
YashKandalkar/Collabora,3,1,1,0,0,JavaScript,253,Very Popular
lmorchard/arboretum,1,1,1,0,0,JavaScript,253,Very Popular
D3xter1922/FirstReactWebApp,0,1,1,0,0,JavaScript,253,Very Popular
benfoxall/code-along,0,1,1,0,0,JavaScript,253,Very Popular
localstack/localstack-extensions,9,1,2,0,3,Python,155,Very Popular
tapaswenipathak/CFP,0,1,21,0,2,Python,155,Very Popular
vasu-1/pygithub-bot,8,1,12,0,2,Python,155,Very Popular
vasu-1/pygithub-bot,8,1,12,0,2,Python,155,Very Popular
fromgopi/cookbook-api,2,1,5,0,2,Python,155,Very Popular
rogeriopvl/Downpy,9,1,3,0,2,Python,155,Very Popular
nikhilkumarsingh/cmail,3,1,3,0,2,Python,155,Very Popular
simonw/asyncinject,26,1,2,0,2,Python,155,Very Popular
brettkromkamp/typed-tree,14,1,1,0,2,Python,155,Very Popular
aviaryan/alfred-google-search,32,1,3,0,0,Python,155,Very Popular
ForrestPi/anomalyLocalization,13,1,3,0,0,Python,155,Very Popular
kdeldycke/kdenlive-tools,6,1,3,0,0,Python,155,Very Popular
kdeldycke/cqlengine-relation-columns,1,1,3,0,0,Python,155,Very Popular
Clueless-Community/collegeAPI,11,1,1,0,0,Python,155,Very Popular
vasu-1/GithubBotApp,6,1,1,0,0,Python,155,Very Popular
vasu-1/GithubBotApp,6,1,1,0,0,Python,155,Very Popular
MannyP31/Dev-folio-1,5,1,1,0,3,HTML,72,Average Popularity
kameshsampath/ansible-role-openshift-spices,2,1,2,0,2,HTML,72,Average Popularity
kameshsampath/ansible-role-openshift-spices,2,1,2,0,2,HTML,72,Average Popularity
rijusougata13/movie-recommender,1,1,2,0,2,HTML,72,Average Popularity
vivekweb2013/commandhunt,9,1,1,0,3,Java,44,Average Popularity
aviaryan/CFBuddy,2,1,3,0,0,Java,44,Average Popularity
AYIDouble/Keyboard,8,1,2,0,0,Java,44,Average Popularity
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6,1,1,0,0,Java,44,Average Popularity
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6,1,1,0,0,Java,44,Average Popularity
hpaez/problemas-competencias,0,1,1,0,0,Java,44,Average Popularity
amacgregor/amgr_phx,0,1,3,0,3,CSS,37,Average Popularity
sreehari2003/cvshare.io,5,1,3,0,2,TypeScript,37,Average Popularity
PranamBhat/Angular-Ivy-Compiler,0,1,1,0,2,TypeScript,37,Average Popularity
blackstorm0514/Moonsama-ERC1155-Subsquid,0,1,1,0,0,TypeScript,37,Average Popularity
AshAman999/FUNZONE,2,1,1,0,2,Dart,36,Average Popularity
Tyriar/canvas-astar.dart,2,1,1,0,0,Dart,36,Average Popularity
trailofbits/btfparse,5,1,1,0,3,C++,29,Average Popularity
jishanshaikh4/assignments,21,1,8,0,2,C++,29,Average Popularity
Swayms-stack/Python-Programs,2,1,1,0,2,Jupyter Notebook,29,Average Popularity
Chirag321ratvekar/MLOPs-Automation-,0,1,20,0,0,Jupyter Notebook,29,Average Popularity
avikalpg/IndianVotingAssistant,6,1,8,0,0,Jupyter Notebook,29,Average Popularity
artkirienko/n-th_longest,0,1,2,0,0,C++,29,Average Popularity
artkirienko/n-th_longest,0,1,2,0,0,C++,29,Average Popularity
unnat404/My-DSA-Handbook,3,1,1,0,0,C++,29,Average Popularity
jishanshaikh4/CSE-215-Computer-Graphics-Programs,16,1,1,0,0,C,26,Average Popularity
Shreeshrii/tessdata_emoji,6,1,1,0,0,Shell,25,Average Popularity
Hritik14/BashServerClient,1,1,1,0,0,Shell,25,Average Popularity
RioChndr/algorithm_challenge,0,1,1,0,2,PHP,16,Unpopular
vitasha10/vkbot,6,1,1,0,0,PHP,16,Unpopular
mattgallagher/CwlWhitespace,26,1,1,0,0,Swift,10,Unpopular
patraanjan23/abstractform,0,1,1,0,2,SCSS,4,Unpopular
norbusan/jfontmaps,434,1,2,0,3,Perl,3,Unpopular
norbusan/jfontmaps,434,1,2,0,3,Perl,3,Unpopular
StErMi/forge-damn-vulnerable-defi,12,1,1,0,0,Solidity,3,Unpopular
lynxerzhang/AS3Util,3,1,1,0,0,ActionScript,1,Unpopular
donnemartin/awesome-aws,0,0,5,60,70,Python,155,Very Popular
donnemartin/interactive-coding-challenges,0,0,32,36,42,Python,155,Very Popular
btholt/complete-intro-to-react-v5,0,0,21,32,5,JavaScript,253,Very Popular
localstack/localstack,0,0,290,30,434,Python,155,Very Popular
ethereum/aleth,0,0,313,27,154,C++,29,Average Popularity
education/graduation,756,0,8,22,0,JavaScript,253,Very Popular
manjurulhoque/angular-task,0,0,1,20,2,HTML,72,Average Popularity
offensive-security/exploitdb,0,0,21,18,17,C,26,Average Popularity
AnmolTomer/ejs_projects,2,0,1,14,2,JavaScript,253,Very Popular
donnemartin/data-science-ipython-notebooks,0,0,11,13,12,Python,155,Very Popular
vicky002/AlgoWiki,0,0,17,13,194,CSS,37,Average Popularity
openfoodfacts/fastlane-descriptions-smoothie,0,0,13,12,4,Ruby,28,Average Popularity
donnemartin/dev-setup,0,0,23,10,16,Python,155,Very Popular
dwij2812/Accord-Checkout,0,0,1,10,3,HTML,72,Average Popularity
trailofbits/algo,0,0,115,10,163,Jinja,5,Unpopular
Dashon-Hawkins/calculator-app,0,0,1,7,0,JavaScript,253,Very Popular
marcel-dempers/docker-development-youtube-series,0,0,5,7,21,Go,15,Unpopular
felangel/bloc,0,0,85,6,169,Dart,36,Average Popularity
zemse/bitcoin3js,3,0,5,5,2,JavaScript,253,Very Popular
hrushikesh-git/foodDom,0,0,1,5,0,JavaScript,253,Very Popular
smaranjitghose/awesome-portfolio-websites,0,0,16,4,151,HTML,72,Average Popularity
openfoodfacts/folksonomy_mobile_experiment,0,0,4,3,3,JavaScript,253,Very Popular
saurabhdaware/abell-source-devto,0,0,1,3,2,JavaScript,253,Very Popular
douglascrockford/JSON-js,0,0,1,3,0,JavaScript,253,Very Popular
saurabhdaware/blog.saurabhdaware.in,4,0,3,3,0,TypeScript,37,Average Popularity
hiranmayee98/github-slideshow,0,0,1,3,8,Ruby,28,Average Popularity
saniya44/github-slideshow,0,0,1,3,8,Ruby,28,Average Popularity
saniya44/github-slideshow,0,0,1,3,8,Ruby,28,Average Popularity
openfoodfacts/fastlane-descriptions,0,0,1,2,3,JavaScript,253,Very Popular
AshAman999/Edify,4,0,3,2,2,Dart,36,Average Popularity
SpaceLeft/Lavalink,1,0,1,2,2,Shell,25,Average Popularity
Novusvetus/AutoGitIgnore,6,0,1,2,2,PHP,16,Unpopular
Novusvetus/ClassHelper,5,0,1,2,2,PHP,16,Unpopular
amacgregor/allanmacgregor,0,0,1,1,4,JavaScript,253,Very Popular
yessine-agrebi/Dev-Blog,2,0,9,1,3,JavaScript,253,Very Popular
anuraghazra/circleci-test,0,0,3,1,2,JavaScript,253,Very Popular
IonicaBizau/animato.js,5,0,2,1,0,JavaScript,253,Very Popular
0zul/canvamoji,2,0,1,1,0,JavaScript,253,Very Popular
Ishita-0112/Pysa-Hack,0,0,6,1,2,Python,155,Very Popular
itaditya/AM-admin-panel,0,0,1,1,0,HTML,72,Average Popularity
cyborgboy/intro-to-semgrep,0,0,1,1,2,TypeScript,37,Average Popularity
cyborgboy/intro-to-semgrep,0,0,1,1,2,TypeScript,37,Average Popularity
artkirienko/final-html-css,1,0,2,1,0,CSS,37,Average Popularity
artkirienko/final-html-css,1,0,2,1,0,CSS,37,Average Popularity
artkirienko/int--even,0,0,1,1,0,C,26,Average Popularity
artkirienko/int--even,0,0,1,1,0,C,26,Average Popularity
lucianmarin/pressdown,2,0,1,1,0,PHP,16,Unpopular
jishanshaikh4/cuda-programs,14,0,1,1,0,Cuda,1,Unpopular
RamyaChinnadurai/intro-react,1,0,1,0,5,JavaScript,253,Very Popular
Abhishek-kumar09/AutoBot,2,0,6,0,4,JavaScript,253,Very Popular
openfoodfacts/folksonomy_frontend,1,0,9,0,3,JavaScript,253,Very Popular
AnirudhDagar/gh-tracker,15,0,2,0,2,JavaScript,253,Very Popular
AYIDouble/Brainfuck-Interpreter-Node.js,10,0,1,0,2,JavaScript,253,Very Popular
ljharb/big-integer-max,3,0,1,0,2,JavaScript,253,Very Popular
kaushik-rishi/codemirror-record,0,0,1,0,2,JavaScript,253,Very Popular
ashryanbeats/favicon-export-for-xd,2,0,1,0,1,JavaScript,253,Very Popular
markwylde/assert-plan,0,0,1,0,1,JavaScript,253,Very Popular
lynxerzhang/JSSkills,0,0,25,0,0,JavaScript,253,Very Popular
education/GitHubGraduation-2021,0,0,14,0,0,JavaScript,253,Very Popular
Tyriar/abbr-fill.js,2,0,9,0,0,JavaScript,253,Very Popular
marcoscaceres/bib_entry_maker,0,0,8,0,0,JavaScript,253,Very Popular
xbelanch/llegir-en-xarxa,0,0,8,0,0,JavaScript,253,Very Popular
lmorchard/about-me,3,0,4,0,0,JavaScript,253,Very Popular
jonfroehlich/HCID521Wi2020,0,0,4,0,0,JavaScript,253,Very Popular
lengstrom/codezoo,1,0,3,0,0,JavaScript,253,Very Popular
lengstrom/codezoo,1,0,3,0,0,JavaScript,253,Very Popular
saurabhdaware/jest-fs-mock,2,0,2,0,0,JavaScript,253,Very Popular
beatak/es-promise-http,2,0,2,0,0,JavaScript,253,Very Popular
Harshal0902/COVID-19-Tracker,2,0,2,0,0,JavaScript,253,Very Popular
kylelix7/job-ui,1,0,2,0,0,JavaScript,253,Very Popular
clindsey/AlphabetSoup,0,0,2,0,0,JavaScript,253,Very Popular
justinshenk/gitcommit,0,0,2,0,0,JavaScript,253,Very Popular
karar189/Music-App,0,0,2,0,0,JavaScript,253,Very Popular
justinshenk/gitcommit,0,0,2,0,0,JavaScript,253,Very Popular
shazow/colorlib,16,0,1,0,0,JavaScript,253,Very Popular
saurabhdaware/import-ls,9,0,1,0,0,JavaScript,253,Very Popular
ljharb/actions,7,0,1,0,0,JavaScript,253,Very Popular
antonmedv/kot,7,0,1,0,0,JavaScript,253,Very Popular
kerrishotts/cordova-template-webpack-babel-scss,6,0,1,0,0,JavaScript,253,Very Popular
IonicaBizau/asciify-pixel,3,0,1,0,0,JavaScript,253,Very Popular
unnat404/eCommerce,2,0,1,0,0,JavaScript,253,Very Popular
carloscuesta/n26-github-actions-demo,1,0,1,0,0,JavaScript,253,Very Popular
carloscuesta/n26-github-actions-demo,1,0,1,0,0,JavaScript,253,Very Popular
kaushik-rishi/procmon,1,0,1,0,0,JavaScript,253,Very Popular
curiousily/burglar-alarm-system-with-tensorflow-js-and-react,1,0,1,0,0,JavaScript,253,Very Popular
MrTwinkleSharma/eCommerce,0,0,1,0,0,JavaScript,253,Very Popular
beatak/each_html_char-js,0,0,1,0,0,JavaScript,253,Very Popular
ducc/a2-coursework,0,0,1,0,0,JavaScript,253,Very Popular
savannahar68/Firefox-Assistant-Anna-,0,0,1,0,0,JavaScript,253,Very Popular
jhonsnow456/Blog-App,0,0,1,0,0,JavaScript,253,Very Popular
newwebash/cat-clicker,0,0,1,0,0,JavaScript,253,Very Popular
masterpranay1/form-validator,0,0,1,0,0,JavaScript,253,Very Popular
aka-jain/Github-Search,0,0,1,0,0,JavaScript,253,Very Popular
AshAman999/Link-Shortner,0,0,1,0,0,JavaScript,253,Very Popular
EstrelaE/quadras-dos-santos,0,0,1,0,0,JavaScript,253,Very Popular
ifnotak/Strenua,0,0,1,0,0,JavaScript,253,Very Popular
sreehari2003/Netflix-clone-React,0,0,1,0,0,JavaScript,253,Very Popular
PawanKolhe/calc-2000-web-app,0,0,1,0,0,JavaScript,253,Very Popular
rchtgpt/tablot,0,0,2,0,5,Python,155,Very Popular
securearth/backman,3,0,1,0,4,Python,155,Very Popular
thrau/my-action-tests,1,0,1,0,3,Python,155,Very Popular
vicky002/charmander,7,0,1,0,2,Python,155,Very Popular
rchtgpt/certifyed,2,0,1,0,2,Python,155,Very Popular
tapaswenipathak/API-list,0,0,1,0,2,Python,155,Very Popular
devraj/google-diff-match-patch,0,0,57,0,0,Python,155,Very Popular
taranjeet/django-starter-skeleton,2,0,7,0,0,Python,155,Very Popular
rupa/mkdn,8,0,2,0,0,Python,155,Very Popular
brettkromkamp/topic-db-api,1,0,2,0,0,Python,155,Very Popular
asweigart/asciiartjsondb,7,0,1,0,0,Python,155,Very Popular
vicky002/CodeChef-API,6,0,1,0,0,Python,155,Very Popular
simonw/asgi-log-to-sqlite,6,0,1,0,0,Python,155,Very Popular
shreyashankar/datatracker,5,0,1,0,0,Python,155,Very Popular
AnkushMalaker/pretrained-dcnn-attention-ser,4,0,1,0,0,Python,155,Very Popular
MariaEduardaDeAzevedo/celare,3,0,1,0,0,Python,155,Very Popular
MariaEduardaDeAzevedo/header,2,0,1,0,0,Python,155,Very Popular
RonLek/C-AWARE,1,0,1,0,0,Python,155,Very Popular
brettkromkamp/knowledge-graph-experiments,1,0,1,0,0,Python,155,Very Popular
ForrestPi/deepfakeDetection,0,0,1,0,0,Python,155,Very Popular
jhonsnow456/Tkinter-Collections,0,0,1,0,0,Python,155,Very Popular
jhonsnow456/CLI-RPG-Game,0,0,1,0,0,Python,155,Very Popular
GmGniap/MOHS_Scraper,0,0,1,0,0,Python,155,Very Popular
taranjeet/hindi-news-classifier,0,0,1,0,0,Python,155,Very Popular
antoniaandreou/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
antoniaandreou/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
Justin77777/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
Rivuozil/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
AneleMbabela/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
ankitkumar70777/github-slideshow,0,0,1,0,8,HTML,72,Average Popularity
idvoretskyi/buildbot,0,0,8,0,5,HTML,72,Average Popularity
dwij2812/Grain-Monitoring-System-Using-LoRaWAN-Webapp,1,0,1,0,2,HTML,72,Average Popularity
hellofuddin/github-slideshow,0,0,1,0,2,HTML,72,Average Popularity
gylidian/gylidian.github.io,0,0,31,0,0,HTML,72,Average Popularity
jonfroehlich/jonfroehlich.github.io,3,0,4,0,0,HTML,72,Average Popularity
Ipseeta/CRUD-SpringMVC-Mongo-API,2,0,1,0,0,HTML,72,Average Popularity
andreyscott/banner,1,0,1,0,0,HTML,72,Average Popularity
lengstrom/blog,1,0,1,0,0,HTML,72,Average Popularity
lengstrom/blog,1,0,1,0,0,HTML,72,Average Popularity
shubhamkarande13/1stRepo,0,0,1,0,0,HTML,72,Average Popularity
skpandey885/Flipkart-UI-Clone,0,0,1,0,0,HTML,72,Average Popularity
newwebash/fcc-product-landing-page,0,0,1,0,0,HTML,72,Average Popularity
newwebash/fcc-tribute-page,0,0,1,0,0,HTML,72,Average Popularity
shobhit97/open-gpstracker,0,0,172,0,3,Java,44,Average Popularity
OmkarKandale/pet-clinic,0,0,11,0,0,Java,44,Average Popularity
ducc/BorkedJavaMusicBot,0,0,8,0,0,Java,44,Average Popularity
dhananjaym2/android-imagedownloader,0,0,4,0,0,Java,44,Average Popularity
Priyansh19077/OnlyPolling,0,0,3,0,0,Java,44,Average Popularity
motasimmakki/Chat-Application-In-Java,1,0,2,0,0,Java,44,Average Popularity
ali123321123/Kids-Math-App,2,0,1,0,0,Java,44,Average Popularity
Ipseeta/JavaPractice,0,0,1,0,0,Java,44,Average Popularity
mager/floor.report.old,0,0,6,0,0,TypeScript,37,Average Popularity
dylanbeattie/Confocal,0,0,2,0,0,CSS,37,Average Popularity
dylanbeattie/Confocal,0,0,2,0,0,CSS,37,Average Popularity
kerrishotts/cordova-keyboard-example,15,0,1,0,0,CSS,37,Average Popularity
lmgonzalves/lmgonzalves.github.io,3,0,1,0,0,CSS,37,Average Popularity
yessine-agrebi/Interactive-pricing-compnent,1,0,1,0,0,CSS,37,Average Popularity
meenal21/meenal-jain,1,0,1,0,0,CSS,37,Average Popularity
idvoretskyi/community-tools,0,0,1,0,0,CSS,37,Average Popularity
danger-ahead/flutter_dictionary,5,0,1,0,2,Dart,36,Average Popularity
Pavel401/LogIn-UI,0,0,1,0,2,Dart,36,Average Popularity
nerdynikhil/bookclub,0,0,3,0,0,Dart,36,Average Popularity
jhonsnow456/Flutter-Apps-Project,5,0,2,0,0,Dart,36,Average Popularity
Debajyoti14/Meal-App,0,0,1,0,0,Dart,36,Average Popularity
gasteigerjo/turbulent,0,0,3,0,3,C++,29,Average Popularity
trailofbits/circuitous-benchmarks,0,0,4,0,0,C++,29,Average Popularity
jishanshaikh4/CSE-219-Principles-of-Programming-Languages,17,0,2,0,0,C++,29,Average Popularity
priyanshumaitra/ccp-assignments,0,0,2,0,0,C++,29,Average Popularity
RonLek/Alive,2,0,1,0,0,C++,29,Average Popularity
Luis-Miguel1/github-slideshow,0,0,1,0,8,Ruby,28,Average Popularity
adil-Pathan/github-slideshow,0,0,1,0,8,Ruby,28,Average Popularity
DevGupta-ikr/github-slideshow,0,0,1,0,8,Ruby,28,Average Popularity
trailofbits/brew-pip-audit,0,0,1,0,2,Ruby,28,Average Popularity
artkirienko/dotfiles,1,0,7,0,0,Ruby,28,Average Popularity
artkirienko/dotfiles,1,0,7,0,0,Ruby,28,Average Popularity
clindsey/cookbook,3,0,3,0,0,Ruby,28,Average Popularity
mscoutermarsh/AddEvent-Ruby,5,0,1,0,0,Ruby,28,Average Popularity
prtamil/cstl,0,0,1,0,2,C,26,Average Popularity
prtamil/c-libutl,0,0,14,0,0,C,26,Average Popularity
defuse/gadgetrie,4,0,3,0,0,C,26,Average Popularity
defuse/dfcrypt,0,0,3,0,0,C,26,Average Popularity
jishanshaikh4/CSE-315-Compiler-Design-Laboratory,16,0,1,0,0,C,26,Average Popularity
artkirienko/int-flip,0,0,1,0,0,C,26,Average Popularity
artkirienko/int-flip,0,0,1,0,0,C,26,Average Popularity
sirinath/blog,0,0,2,0,23,Shell,25,Average Popularity
zfogg/dotfiles,13,0,1,0,0,Shell,25,Average Popularity
studiomohawk/FiveCast,3,0,1,0,0,Shell,25,Average Popularity
Shreeshrii/tess5training-rajarajan,1,0,1,0,0,Shell,25,Average Popularity
blackstorm0514/opencart_bizzsite,8,0,1,0,0,PHP,16,Unpopular
shazow/clicker.go,4,0,2,0,0,Go,15,Unpopular
ihcsim/go-ini,1,0,2,0,0,Go,15,Unpopular
ducc/egg,14,0,1,0,0,Go,15,Unpopular
cblecker/cluster-api-provider-jira,5,0,1,0,0,Go,15,Unpopular
mager/cafebean-api,0,0,1,0,0,Go,15,Unpopular
defuse/DAWr,19,0,10,0,0,Rust,10,Unpopular
ralexstokes/cargo-template,0,0,1,0,0,Rust,10,Unpopular
DaiJunMaster/DJColorfulSlider,13,0,2,0,2,Objective-C,8,Unpopular
aldriguz/dotnet-training,1,0,1,0,0,C#,8,Unpopular
aldriguz/SampleMVC,1,0,1,0,0,C#,8,Unpopular
oliveeyay/EtherTracker,4,0,1,0,0,Kotlin,7,Unpopular
localstack/ci-plugin-circleci,3,0,1,0,3,Makefile,6,Unpopular
kameshsampath/ansible-role-rosa-demos,0,0,2,0,2,Makefile,6,Unpopular
kameshsampath/ansible-role-rosa-demos,0,0,2,0,2,Makefile,6,Unpopular
kameshsampath/ansible-role-minikube,0,0,2,0,0,Makefile,6,Unpopular
kameshsampath/ansible-role-minikube,0,0,2,0,0,Makefile,6,Unpopular
localstack/localstack-packaged-cli,2,0,1,0,0,Makefile,6,Unpopular
kameshsampath/ansible-collection-kubernetes-spices,0,0,5,0,1,Jinja,5,Unpopular
kameshsampath/ansible-collection-kubernetes-spices,0,0,5,0,1,Jinja,5,Unpopular
Mitesh411/hello-github-actions,0,0,1,0,3,Dockerfile,3,Unpopular
vaananart/codeql-uboot,0,0,1,0,2,CodeQL,2,Unpopular
Raz0r/codeql-uboot,0,0,1,0,2,CodeQL,2,Unpopular
jishanshaikh4/CSE-229-PHP-Laboratory,16,0,2,0,0,Hack,2,Unpopular
amacgregor/epub_parser,0,0,1,0,0,Elixir,2,Unpopular
ck37/featurerank,1,0,3,0,3,R,1,Unpopular
AnkushMalaker/speech-emotion-recognition,5,0,4,0,2,PureBasic,1,Unpopular
avikalpg/avikalpg.github.io,1,0,2,0,0,Roff,1,Unpopular
jishanshaikh4/cpp-building,16,0,1,0,0,QMake,1,Unpopular
eddiejaoude/BattleSnake,1,0,1,0,0,Gherkin,1,Unpopular
,,,,,,,72,
,,,,,,,98.08016149,
,,,,,,,121.0400807,
,,,,,,,22.95991925,
