Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
adrianhajdin/project_gif_app,23,8,1,0,0,CSS,37,Average Popularity
DeepGautamFullStack/Integrating-Chart-Js-in-Angular-7,16,8,1,0,0,TypeScript,37,Average Popularity
aloisdeniel/bluff,84,8,3,0,0,Dart,36,Average Popularity
aloisdeniel/bluff,84,8,3,0,0,Dart,36,Average Popularity
RonLek/ALPR-and-Identification-for-Indian-Vehicles,25,8,4,0,4,Jupyter Notebook,29,Average Popularity
arogozhnikov/DeepMMD-GAN,13,8,2,0,0,Jupyter Notebook,29,Average Popularity
defuse/backup-verify,9,8,4,0,0,Ruby,28,Average Popularity
zfogg/ascii-chat,158,8,1,0,3,C,26,Average Popularity
dheerajkotwani/CineWatch,27,8,1,0,0,Kotlin,7,Unpopular
openfoodfacts/api-documentation,11,7,48,7,10,HTML,72,Average Popularity
rogeriopvl/downstagram,32,7,9,4,2,JavaScript,253,Very Popular
mikenikles/ghost-v3-google-cloud-storage,13,7,4,3,2,JavaScript,253,Very Popular
ricksaha2000/JAVA,2,7,7,2,7,Java,44,Average Popularity
feross/arch,69,7,2,1,4,JavaScript,253,Very Popular
ethereum/asyncio-run-in-process,11,7,5,1,6,Python,155,Very Popular
KrauseFx/dotfiles,84,7,1,1,0,Shell,25,Average Popularity
KrauseFx/dotfiles,84,7,1,1,0,Shell,25,Average Popularity
carloscuesta/carloscuesta.me,39,7,2,0,7,JavaScript,253,Very Popular
carloscuesta/carloscuesta.me,39,7,2,0,7,JavaScript,253,Very Popular
AYIDouble/BMI-Calculator-JavaScript,18,7,2,0,2,JavaScript,253,Very Popular
justinshenk/deepemotion,12,7,1,0,2,JavaScript,253,Very Popular
justinshenk/deepemotion,12,7,1,0,2,JavaScript,253,Very Popular
antonmedv/fx-completion,169,7,2,0,0,JavaScript,253,Very Popular
97shivank/Hotel-Site-with-Django,5,7,3,0,5,Python,155,Very Popular
ethereum/asyncio-cancel-token,9,7,1,0,5,Python,155,Very Popular
ralexstokes/deposit-verifier,15,7,4,0,3,Python,155,Very Popular
Vectorized/VoxNet-Tensorflow,10,7,1,0,0,Python,155,Very Popular
AYIDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,24,7,4,0,2,Java,44,Average Popularity
RakeshSeervi/congenial-spoon,0,7,1,0,6,CSS,37,Average Popularity
lmgonzalves/elastic-range-input,34,7,1,0,0,CSS,37,Average Popularity
RivaanRanawat/cuadro,8,7,1,0,0,Dart,36,Average Popularity
Errichto/convex-hull-of-dynamic-set,10,7,1,0,0,C++,29,Average Popularity
WhiteHouse/logger,5,7,6,0,3,PHP,16,Unpopular
google/across,12,6,1,3,4,HTML,72,Average Popularity
openfoodfacts/hunger-games,2,6,27,2,9,JavaScript,253,Very Popular
benfoxall/benfoxall.github.com,5,6,13,1,2,JavaScript,253,Very Popular
openfoodfacts/DriveOFF,1,6,7,1,0,JavaScript,253,Very Popular
aloisdeniel/built_vector,33,6,6,1,0,Dart,36,Average Popularity
aloisdeniel/built_vector,33,6,6,1,0,Dart,36,Average Popularity
felangel/bloc_todos,6,6,1,1,0,Dart,36,Average Popularity
IonicaBizau/ajs,21,6,2,0,2,JavaScript,253,Very Popular
AYIDouble/IOTA-Arbitrage,13,6,1,0,2,JavaScript,253,Very Popular
yourcelf/afgexplorer,48,6,4,0,2,Python,155,Very Popular
google/adcase,4,6,1,0,0,Python,155,Very Popular
openfoodfacts/eu-food-data,8,6,4,0,4,HTML,72,Average Popularity
Ishita-0112/CODES,4,6,5,0,8,Java,44,Average Popularity
EddieHubCommunity/DailyTips,16,6,9,0,9,TypeScript,37,Average Popularity
AnmolTomer/ml_bootcamp_udemy,6,6,2,0,2,Jupyter Notebook,29,Average Popularity
nikhilkumarsingh/glitch-test,1,6,1,0,0,Shell,25,Average Popularity
mattgallagher/CwlViews,166,6,1,0,3,Swift,10,Unpopular
mitsuhiko/better-panic,332,6,4,0,2,Rust,10,Unpopular
jdrago999/AWS-S3,14,6,1,0,5,Perl,3,Unpopular
douglascrockford/fash,29,6,1,0,0,Assembly,2,Unpopular
openfoodfacts/folksonomy_api,7,5,10,8,5,Python,155,Very Popular
Anishde85/sociocom,2,5,2,6,6,HTML,72,Average Popularity
devongovett/atom-stylus,6,5,5,2,2,CoffeeScript,3,Unpopular
aitikgupta/interactive_cpu_scheduler,0,5,1,1,7,Python,155,Very Popular
AYIDouble/Binary-Calculator-Android-Java-App,15,5,1,1,3,Java,44,Average Popularity
aloisdeniel/built_bloc,51,5,5,1,0,Dart,36,Average Popularity
aloisdeniel/built_bloc,51,5,5,1,0,Dart,36,Average Popularity
AYIDouble/Decentralized-World-Wide-Web-ERC-721,13,5,1,1,2,Solidity,3,Unpopular
divyamagwl/Depocalypse,14,5,1,0,4,JavaScript,253,Very Popular
divyamagwl/Depocalypse,14,5,1,0,4,JavaScript,253,Very Popular
avikalpg/free-time,2,5,7,0,2,JavaScript,253,Very Popular
gwmccubbin/voting_dapp,11,5,1,0,0,JavaScript,253,Very Popular
trailofbits/blight,63,5,14,0,7,Python,155,Very Popular
gabrielfalcao/bolacha,17,5,1,0,2,Python,155,Very Popular
savannahar68/CamScanner-Python,2,5,2,0,0,Python,155,Very Popular
itaditya/AR-shopping,2,5,1,0,2,HTML,72,Average Popularity
taniarascia/new-moon-chrome-devtools,56,5,2,0,5,CSS,37,Average Popularity
jhonsnow456/ML-Algorithms,2,5,1,0,0,Jupyter Notebook,29,Average Popularity
defuse/dnsfs,33,5,1,0,0,Ruby,28,Average Popularity
Tyriar/dotfiles,31,5,21,0,0,Shell,25,Average Popularity
xbelanch/OBS4Pi,30,5,4,0,0,Shell,25,Average Popularity
Shreeshrii/tessdata_arabic,22,5,1,0,0,Shell,25,Average Popularity
byt3bl33d3r/hookme,12,5,1,0,0,C#,8,Unpopular
jgthms/bulma-versions,7,4,2,12,0,HTML,72,Average Popularity
jgthms/bulma-versions,7,4,2,12,0,HTML,72,Average Popularity
devongovett/babel-plugin-transform-glob-import,5,4,1,3,0,JavaScript,253,Very Popular
trailofbits/cvedb,12,4,2,1,3,Python,155,Very Popular
localstack/aws-sam-cli-local,17,4,3,1,2,Python,155,Very Popular
aloisdeniel/dart-opencage-geocoder,7,4,1,1,3,Dart,36,Average Popularity
aloisdeniel/dart-opencage-geocoder,7,4,1,1,3,Dart,36,Average Popularity
droy312/cpp_code2,1,4,1,1,4,C++,29,Average Popularity
RivaanRanawat/flutter-dapp-tutorial,4,4,2,1,0,C++,29,Average Popularity
MariaEduardaDeAzevedo/centavos-search,7,4,3,0,5,JavaScript,253,Very Popular
ak7550/garments-store,0,4,5,0,0,JavaScript,253,Very Popular
jakearchibald/async-waituntil-polyfill,31,4,1,0,0,JavaScript,253,Very Popular
gabrielfalcao/dead-parrot,16,4,5,0,2,Python,155,Very Popular
kdeldycke/chessboard,7,4,9,0,0,Python,155,Very Popular
nikhilkumarsingh/desktop_reminder,7,4,3,0,0,Python,155,Very Popular
