repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
mattgallagher/Clocks,102,9,1,0,0,Swift,10
benawad/apollo-link-state-tutorial,27,9,1,0,0,TypeScript,37
RivaanRanawat/flutter-multiplayer-tictactoe,13,9,1,0,0,Dart,36
dheerajkotwani/CineWatch,27,8,1,0,0,Kotlin,7
Anuj-Kumar-Sharma/Rubiks_cube_Solver,26,8,1,0,0,Java,44
adrianhajdin/project_gif_app,23,8,1,0,0,CSS,37
DeepGautamFullStack/Integrating-Chart-Js-in-Angular-7,16,8,1,0,0,TypeScript,37
lmgonzalves/elastic-range-input,34,7,1,0,0,CSS,37
Vectorized/VoxNet-Tensorflow,10,7,1,0,0,Python,155
Errichto/convex-hull-of-dynamic-set,10,7,1,0,0,C++,29
RivaanRanawat/cuadro,8,7,1,0,0,Dart,36
douglascrockford/fash,29,6,1,0,0,Assembly,2
google/adcase,4,6,1,0,0,Python,155
nikhilkumarsingh/glitch-test,1,6,1,0,0,Shell,25
defuse/dnsfs,33,5,1,0,0,Ruby,28
Shreeshrii/tessdata_arabic,22,5,1,0,0,Shell,25
byt3bl33d3r/hookme,12,5,1,0,0,C#,8
gwmccubbin/voting_dapp,11,5,1,0,0,JavaScript,253
jhonsnow456/ML-Algorithms,2,5,1,0,0,Jupyter Notebook,29
jakearchibald/async-waituntil-polyfill,31,4,1,0,0,JavaScript,253
JDevlieghere/InTeXration,18,4,1,0,0,Python,155
JDevlieghere/InTeXration,18,4,1,0,0,Python,155
ArefMq/action-recognition-via-snn,16,4,1,0,0,Python,155
Anuj-Kumar-Sharma/GitLearningRepo,10,4,1,0,0,Python,155
shreyassai123/NFT-Wallet,26,3,1,0,0,Swift,10
devongovett/bmp.js,14,3,1,0,0,CoffeeScript,3
bradtraversy/bootsassy,6,3,1,0,0,JavaScript,253
ljharb/call-bind,5,3,1,0,0,JavaScript,253
ayan2809/Go-Back-N-ARQ-,5,3,1,0,0,Python,155
emersonsoares/CakePHP-Dinamic-Select-Box,5,3,1,0,0,PHP,16
ritwickdey/expensify-app,4,3,1,0,0,JavaScript,253
ritwickdey/expensify-app,4,3,1,0,0,JavaScript,253
gamemann/All_PropHealth,4,3,1,0,0,SourcePawn,1
nikita9604/Blogging-Website-using-Flask,2,3,1,0,0,HTML,72
ArefMq/SPLCommunicationTester,2,3,1,0,0,C++,29
lucianmarin/logparser,137,2,1,0,0,Python,155
xchanmolx/E-CommerceApp,49,2,1,0,0,C#,8
mattgallagher/CwlFeedReader,29,2,1,0,0,Swift,10
devongovett/bundler-algorithm,28,2,1,0,0,Rust,10
artkirienko/hlds-docker-dproto,19,2,1,0,0,Pawn,2
artkirienko/hlds-docker-dproto,19,2,1,0,0,Pawn,2
localstack/chalice-local,17,2,1,0,0,Python,155
lucianmarin/instanote,17,2,1,0,0,PHP,16
jishanshaikh4/CSE-317-Operating-Systems-Laboratory,16,2,1,0,0,C++,29
AnkushMalaker/HUSE,14,2,1,0,0,Python,155
loveBabbar/ProgressTracker,10,2,1,0,0,Java,44
aviaryan/CloseFolder,9,2,1,0,0,Python,155
manjurulhoque/android-scheduler,5,2,1,0,0,Java,44
SOUMEE2000/Goodreads-Book-Finder-Getting-Started-Project-,3,2,1,0,0,HTML,72
iliyass-zamouri/flutter_agenda,3,2,1,0,0,Dart,36
ljharb/big-integer-min,2,2,1,0,0,JavaScript,253
jakearchibald/aac-decode-bug,0,2,1,0,0,HTML,72
mattgallagher/CwlWhitespace,26,1,1,0,0,Swift,10
jishanshaikh4/CSE-215-Computer-Graphics-Programs,16,1,1,0,0,C,26
saurabhdaware/blep,14,1,1,0,0,JavaScript,253
StErMi/forge-damn-vulnerable-defi,12,1,1,0,0,Solidity,3
Clueless-Community/collegeAPI,11,1,1,0,0,Python,155
vasu-1/GithubBotApp,6,1,1,0,0,Python,155
vasu-1/GithubBotApp,6,1,1,0,0,Python,155
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6,1,1,0,0,Java,44
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6,1,1,0,0,Java,44
Shreeshrii/tessdata_emoji,6,1,1,0,0,Shell,25
vitasha10/vkbot,6,1,1,0,0,PHP,16
kerrishotts/cordova-template-webpack-ts-scss,4,1,1,0,0,JavaScript,253
devongovett/babel-plugin-transform-async-super,4,1,1,0,0,JavaScript,253
YashKandalkar/Collabora,3,1,1,0,0,JavaScript,253
unnat404/My-DSA-Handbook,3,1,1,0,0,C++,29
lynxerzhang/AS3Util,3,1,1,0,0,ActionScript,1
Tyriar/canvas-astar.dart,2,1,1,0,0,Dart,36
lmorchard/arboretum,1,1,1,0,0,JavaScript,253
Hritik14/BashServerClient,1,1,1,0,0,Shell,25
D3xter1922/FirstReactWebApp,0,1,1,0,0,JavaScript,253
benfoxall/code-along,0,1,1,0,0,JavaScript,253
hpaez/problemas-competencias,0,1,1,0,0,Java,44
blackstorm0514/Moonsama-ERC1155-Subsquid,0,1,1,0,0,TypeScript,37
shazow/colorlib,16,0,1,0,0,JavaScript,253
jishanshaikh4/CSE-315-Compiler-Design-Laboratory,16,0,1,0,0,C,26
jishanshaikh4/cpp-building,16,0,1,0,0,QMake,1
kerrishotts/cordova-keyboard-example,15,0,1,0,0,CSS,37
ducc/egg,14,0,1,0,0,Go,15
zfogg/dotfiles,13,0,1,0,0,Shell,25
saurabhdaware/import-ls,9,0,1,0,0,JavaScript,253
blackstorm0514/opencart_bizzsite,8,0,1,0,0,PHP,16
ljharb/actions,7,0,1,0,0,JavaScript,253
